title,rate,comments,likes,shares,total_time,number people,difficulty,cost,time_preparation,time_cooking,ingredients,recipe,link,gender
Hachis Parmentier,4.8,877,89k,168,45 min,4,facile,bon marché,25 min,20 min,"['g de viande hachée', 'g de purée', 'oignons', ""gousses d'ail"", 'tomates fraîches ou pelées', 'cuillère à soupe de farine', 'pincée de herbes de provence', ""jaune d'oeuf"", 'g de parmesan', 'g de beurre', 'g de fromage râpé', 'sel', 'poivre']","Hacher l'oignon et l'ail.
Les faire revenir dans le beurre jusqu'à ce qu'ils soient tendres. Ajouter les tomates coupées en dés, la viande hachée, la farine, du sel, du poivre et les herbes de Provence. Quand tout est cuit, couper le feu et ajouter le jaune d'oeuf et un peu de parmesan. Bien mélanger. Préchauffer le four à 200°C (thermostat 6-7). 
Etaler au fond du plat à gratin. Préparer la purée. L'étaler au dessus de la viande. Saupoudrer de fromage râpé et faire gratiner.",https://www.marmiton.org/recettes/recette_hachis-parmentier_17639.aspx,pas noel
Boeuf Bourguignon rapide,4.7,875,91k,234,1h10,6,très facile,Coût moyen,10 min,1 h,"['g de boeuf pour bourguignon', 'g de lardons', ""g de beurre ou 3 cuillères à soupe d'huile"", 'l de vin rouge', 'oignons', ""gousse d'ail"", 'cuillères à soupe de farine', 'bouquet garni', 'g de champignon de paris (en boîte)', 'sel', 'poivre']","Hacher les oignons. Peler l'ail. Dans une cocotte minute, faire roussir la viande et les lardons dans l’huile ou le beurre. Ajouter les oignons, les champignons égouttés et saupoudrer de fariner. Mélanger et laisser dorer un instant. Mouiller avec le vin rouge qui doit recouvrir la viande. Saler et poivrer. Ajouter l’ail et le bouquet garni. Fermer la cocotte minute. Laisser cuire doucement 60 min à partir de la mise en rotation de la soupape.",https://www.marmiton.org/recettes/recette_boeuf-bourguignon-rapide_19218.aspx,pas noel
La Vraie Moussaka Grecque,4.7,862,67k,175,2h55,4,Niveau moyen,bon marché,20 min,2h35,"['aubergines', 'pommes de terre', 'g de boeuf haché', 'tomates (+/- une demie brique de coulis de tomate)', 'oignon', ""huile d'olive (je la prends au basilic)"", 'g de beurre', 'petite cuillère de cannelle', 'cuillère à soupe de miel', 'muscade', 'poivre', 'sel', 'g de beurre', 'cuillères à soupe de farine', 'cl de lait']","Préparation de la sauce tomate.
Emincer les oignons et les faire blondir dans une petite casserole. Ajouter les tomates coupées en gros dés et 2 bonnes cuillères à soupe d'huile d'olive, la cannelle, le miel, saler et poivrer. Laisser réduire le tout 25 minutes (ou plus, jusqu'à arriver à la préparation de la viande) à feu moyen.

On doit obtenir une sauce, que l'on peut homogénéiser avec du coulis de tomate tout prêt. Préparation des aubergines. 
Découper les aubergines en rondelles (sans les peler), saler généreusement, et les laisser dégorger le temps de l'étape suivante.

Conseil pour faire dégorger les aubergines : dans un plat, alterner une couche de tranches d'aubergine salées et une couche de papier absorbant ou les laisser dans une passoire. Préparation des pommes de terre. 
Eplucher et découper les pommes de terres en fines rondelles. Disposer les rondelles de pommes de terre au fond d'un plat à gratin assez haut, huilé.
Arroser les pommes de terres d'un peu (3 cuillères à soupe) du jus rendu par les tomates qui mijotent. Passer le plat de pommes de terre sous le grill 5 à 15 min selon votre four, pour qu'elles dorent. Maintenant qu'elles ont dégorgé, passer les rondelles d'aubergine à la poêle à feu fort pour les faire griller un peu de chaque côté, réserver. Préparation de la viande. 
Dans un faitout, faire revenir la viande hachée au beurre à feu assez fort, saler, poivrer et retirer l'eau rendue par la viande. Ajouter la sauce tomate-oignons et baisser le feu (très doux). Sortir le plat de pommes de terres du four et le préchauffer le four à 200°C (thermostat 6-7). Préparation de la béchamel. 
Dans une petite casserole sur feu doux, faire blondir les 20 g de beurre, ajouter la farine et mélanger pour obtenir un appareil homogène. Incorporer petit à petit le lait en n'arrêtant jamais de remuer, ça peut prendre 10 bonnes minutes, on doit obtenir une sauce assez épaisse. Saler, poivrer et râper un peu de noix de muscade (c'est fort, il faut en mettre peu). Montage de la moussaka.
Par dessus la couche de pommes de terre, étaler la moitié de la viande hachée avec la tomate, puis la moitié des aubergines, puis l'autre moitié de viande, puis l'autre moitié des aubergines, un filet d'huile d'olive et terminer par la béchamel. Enfourner le tout dans le four à 200°C (thermostat 6-7) et laisser cuire 1h (la béchamel doit croustiller et être dorée).",https://www.marmiton.org/recettes/recette_la-vraie-moussaka-grecque_72593.aspx,pas noel
Rôti de porc à la moutarde et au miel,4.6,815,87k,884,1h10,6,très facile,bon marché,10 min,1 h,"['rôti de porc de 1,2 kg environ', 'cuillère à soupe de moutarde de dijon', 'cuillères à soupe de miel', ""gousse d'ail pressée et dégermée ou 1 cuillère à café d'ail en poudre"", 'poivre au goût', 'sel', 'oignons coupés en rondelles', 'cl de bouillon de volaille']","Préchauffer le four à 180°C (thermostat 6). Mélanger tous les ingrédients ensemble, sauf le rôti et les rondelles d'oignons. Badigeonner le rôti de cette sauce et le coucher sur les oignons. Rectifier l'assaisonnement si besoin. Ajouter le bouillon, couvrir le rôti et mettre au four pendant environ 1h30. Pour vérifier la cuisson, piquer avec un cure-dent. S'il pénètre facilement, le rôti est à point.",https://www.marmiton.org/recettes/recette_roti-de-porc-a-la-moutarde-et-au-miel_17178.aspx,pas noel
Muffin forêt noire,4,1,20,0,45 min,8,facile,bon marché,15 min,10 min,"['boîte de lait concentré sucré nestlé 397 g', 'oeufs', 'farine', 'ml de crème fleurette', 'g de chocolat nestlé dessert noir absolu', 'g de griotte surgelées']","Faites décongeler les griottes. Faites fondre 150 g de chocolat cassé en carré 2 minutes au four à micro-ondes à 500W. Ajoutez le lait concentré sucré Nestlé, les oeufs, la farine et les griottes (gardez-en 8). Versez dans un moule à muffin. Faites cuire 17 minutes à 200°C en mode traditionnel. Démoulez et laissez refroidir. Faites des copeaux avec le chocolat restant. 
Battez la crème en chantilly. 
Sur chaque muffin, ajoutez la chantilly, une griotte et des copeaux.",https://www.marmiton.org/recettes/recette_muffin-foret-noire_371306.aspx,pas noel
Gratin Dauphinois,4.7,771,72k,547,1h25,6,facile,bon marché,25 min,1 h,"['kg de pomme de terre', ""gousses d'ail"", 'cl de crème', 'g de beurre', 'l de lait', 'muscade', 'sel', 'poivre']","Eplucher, laver et couper les pommes de terre en rondelles fines (NB : ne pas les laver APRES les avoir coupées, car l'amidon est nécessaire à une consistance correcte). Hacher l'ail très finement. Porter à ébullition dans une casserole le lait, l'ail, le sel, le poivre et la muscade puis y plonger les pommes de terre et laisser cuire 10 à 15 min, selon leur fermeté. Préchauffer le four à 180°C (thermostat 6) et beurrer un plat à gratin. Placer les pommes de terre égouttées dans le plat. Les recouvrir de crème, puis disposer des petites noix de beurre sur le dessus. Enfourner pour 50 min à 1 heure de cuisson.",https://www.marmiton.org/recettes/recette_gratin-dauphinois_13809.aspx,pas noel
Lasagnes aux courgettes et au chèvre,4.6,690,101k,21,35 min,2,très facile,bon marché,15 min,20 min,"['courgettes (ou 3 petites)', 'fromages de chèvre frais', 'cl de lait', 'cuillère à soupe de maïzena', 'plaques de lasagnes', 'g de gruyère râpé', 'sel', 'poivre', 'muscade']","Préchauffer le four à thermostat 6 (180°C). Laver les courgettes, les râper avec une grosse grille. 
Les faire revenir 15 min à feu doux dans une poêle. Ajouter les chèvres frais, saler et poivrer. Mettre les pâtes à cuire. 
Faire une béchamel légère : porter à ébullition le lait et ajouter la Maïzena, mélanger à feu doux pour que la sauce prenne, saler, poivrer et ajouter la muscade. Dans un plat, alterner la sauce, les plaques de lasagnes, les courgettes, terminer par la sauce. Parsemer de gruyère. Enfourner 20 à 25 min.",https://www.marmiton.org/recettes/recette_lasagnes-aux-courgettes-et-au-chevre_22798.aspx,pas noel
Filet mignon de porc au Maroilles,4.8,676,32k,284,1 h,6,très facile,Coût moyen,30 min,30 min,"['filets mignons de porc', 'cl de vin blanc', 'oignon', 'cl de crème fraîche', 'g de maroilles', 'poivre', 'sel']","Hacher l'oignon. Le faire blondir l'oignon dans une cocotte ou une sauteuse avec couvercle. Ajouter les filets mignons et les faire dorer sur tous les côtés. Verser le vin blanc. Couvrir et laisser cuire 20 minutes. Dans un bol, couper le Maroilles en petits morceaux. Ajouter la crème et mélanger. Vérifier la cuisson. Une fois les filets cuits, ajouter la crème et le Maroilles. Le Maroilles va fondre progressivement. Le plat est prêt une fois que la sauce est bien onctueuse. Ce plat est très bon accompagné de tagliatelles fraîches.",https://www.marmiton.org/recettes/recette_filet-mignon-de-porc-au-maroilles_12734.aspx,pas noel
Poulet basquaise,4.7,637,106k,88,1h20,6,facile,Coût moyen,20 min,1 h,"['poulet coupé en 6 morceaux', 'kg de tomate', 'g de poivron (verts et rouges)', 'oignons émincés', ""gousses d'ail"", 'cl de vin blanc', 'bouquet garni', ""cuillères à soupe d'huile d'olive"", 'sel', 'poivre']","Hacher l'oignon et l'ail. Couper les tomates en morceaux et détailler les poivrons en lanières. Faire chauffer 4 cuillères à soupe d'huile dans une cocotte. Y faire dorer les oignons, l'ail et les poivron. Laisser cuire 5 min. Ajouter les tomates à la cocotte, saler, poivrer. Couvrir et laisser mijoter 20 min. Dans une sauteuse, faire dorer dans l'huile d'olive les morceaux de poulet salés et poivrés. Lorsqu'ils sont dorés, les ajouter aux légumes, couvrir, ajouter le bouquet garni et le vin blanc et c'est parti pour 35 min de cuisson.",https://www.marmiton.org/recettes/recette_poulet-basquaise_16969.aspx,pas noel
Brochettes de crêpes au Nutella® et aux fruits,4.5,2,1.4k,2,36 min,4,très facile,bon marché,11 min,15 min,"['oeufs', 'g de farine', 'g de beurre', 'ml de lait entier', 'fruits', 'g de nutella®']","Munissez-vous de deux terrines : dans l'une, mélangez le lait et la farine ; dans l'autre, les œufs et le beurre fondu. Mélangez ensuite le contenu des deux récipients. Laissez reposer la pâte pendant 15 minutes à température ambiante. Faites chauffer une poêle à crêpes et graissez-la avec du papier absorbant légèrement imbibé d'huile. Versez un peu de pâte dans la poêle et étalez-la pour former une crêpe d'environ 26 cm de diamètre. Faites-la cuire des deux côtés jusqu'à ce qu'elle soit bien dorée. Fourrez chaque crêpe avec 15 g de Nutella®. Roulez les crêpes et coupez-les en rondelles d'environ 3 cm. Montez les brochettes en alternant les rondelles de crêpes avec des morceaux de fruits.",https://www.marmiton.org/recettes/recette_brochettes-de-crepes-au-nutella-et-aux-fruits_348748.aspx,pas noel
Pâte à pizza épaisse et moelleuse,4.6,633,38k,1178,35 min,4,facile,bon marché,20 min,15 min,"['g de farine (type pâte à pain) + 100 g pour travailler la pâte', 'cuillères à café de sel', 'sachet de levure boulangère', ""cuillères à soupe d'huile d'olive"", ""cl d'eau tiède""]","Mettre 350 g de farine dans un grand saladier puis ajouter successivement le sel, la levure boulangère et l'huile d'olive. Verser petit à petit l'eau tiède tout en mélangeant avec une cuillère en bois. Remuer longuement jusqu'à obtention d'une pâte qui se détache du saladier. Laisser reposer la pâte pendant 1h en couvrant le saladier avec un torchon dans un endroit chaud. Après le temps de repos, déposer de la farine sur votre plan de travail y déposer la pâte à pizza. La travailler comme on travaillerait une pâte à pain. Façonner votre pizza aux dimensions de votre plaque à four où l'idéal, c'est de déposer la pâte sur du papier cuisson. Agrémenter votre pizza au grès de vos envies ou de vos restes dans le frigo.",https://www.marmiton.org/recettes/recette_pate-a-pizza-epaisse-et-moelleuse_58761.aspx,pas noel
La vraie Tartiflette,4.6,614,67k,1796,1h15,4,très facile,bon marché,15 min,1 h,"['kg de pomme de terre', 'g de lardons fumés', ""g d'oignon émincés"", ""reblochon bien fait (lorsqu'on appuie sur le côté du reblochon, le doigt doit s'enfoncer un peu)"", ""cuillères à soupe d'huile"", ""gousse d'ail"", 'sel', 'poivre']","Eplucher les pommes de terre, les couper en dés, bien les rincer et les essuyer dans un torchon propre. Faire chauffer l'huile dans une poêle, y faire fondre les oignons. Lorsque les oignons sont fondus, ajouter les pommes de terre et les faire dorer de tous les côtés. Lorsqu'elles sont dorées, ajouter les lardons et finir de cuire. D'autre part, gratter la croûte du reblochon et le couper en deux (ou en quatre). Préchauffer le four à 200°C (thermostat 6-7) et préparer un plat à gratin en frottant le fond et les bords avec la gousse d'ail épluchée. Dans le plat à gratin, étaler une couche de pommes de terre aux lardons, disposer dessus la moitié du reblochon, puis de nouveau des pommes de terre. Terminer avec le reste du reblochon (croûte vers les pommes de terre). Enfourner pour environ 20 minutes de cuisson.",https://www.marmiton.org/recettes/recette_la-vraie-tartiflette_17634.aspx,pas noel
Papillote de saumon à la mozzarella,4.7,575,68k,192,50 min,2,facile,Coût moyen,15 min,35 min,"['pavés de saumon', 'boule de mozzarella', 'tomates', 'herbes de provence', 'basilic', 'poivre', 'sel', ""huile d'olive"", 'olives noires', ""gousses d'ail (pas trop grosses)""]","Mettre chaque pavé de saumon sur 1 feuille d'aluminium séparé. Couper les tomates et la mozzarella en fines tranches. Saler et poivrer légèrement le saumon. Disposer sur chaque saumon en alternance : 1 tranche de tomate, puis 1 tranche de mozzarella, puis 1 tranche de tomate, etc. Emincer les olives et les gousses d'ail, en saupoudrer les 2 pavés de saumon; ajouter un peu de sel, poivre, et saupoudrer d'herbes. Verser sur chaque pavé de saumon l'équivalent de 2 cuillères à café d'huile d'olive. Refermer chaque aluminium en papillote, et les disposer dans un plat à gratin. Mettre à four chaud (210°C/th 7) pendant 35 min, le saumon est cuit lorque sa peau s'est bien éclaircie. Servir avec du riz basmati parfumé et une salade verte (dans laquelle vous aurez rajouté un peu d'oignon).",https://www.marmiton.org/recettes/recette_papillote-de-saumon-a-la-mozzarella_23382.aspx,pas noel
Chili con carne express,4.7,560,53k,196,35 min,3,très facile,bon marché,5 min,30 min,"['oignon', ""gousse d'ail"", 'g de viande hachée', 'g de haricots rouges en boîte', 'g de tomates pelées en boîte', 'cuillères à café de chili', 'poivre', 'sel', ""huile d'olive""]","Hacher oignon et ail. Faire chauffer l'huile dans une cocotte, faire fondre l'oignon et l'ail. Ajouter la viande hachée, la laisser prendre couleur. Ajouter la poudre a chili (suivant les goûts, + ou - pimenté). Egoutter les haricots, les versez dans la cocotte avec les tomates. Remuer et assaisonner. Laisser frémir 20 minutes. Déguster.",https://www.marmiton.org/recettes/recette_chili-con-carne-express_14369.aspx,pas noel
Pommes au four au Nutella®,5,2,346,0,52 min,4,très facile,bon marché,14 min,38 min,"['pommes tendres (boskoop ou cox orange)', 'g de sucre en poudre', 'g de raisins secs', 'cl de jus de pomme', 'g de beurre mou', 'cuillère à café de cannelle', 'g de noisettes concassées grossièrement', 'jus de citron']","Préchauffez le four à 180°C et positionnez une grille à mi-hauteur. Coupez le haut des pommes et réservez-les pour plus tard.
À l'aide d'une cuillère, retirez les pépins ainsi qu'un peu de chair et disposez les pommes dans un plat à gratin. Dans un bol, mélangez le beurre avec 70 g de sucre, la cannelle, les raisins secs et les noisettes. Remplissez les pommes avec ce mélange. Dans une petite casserole, faites chauffer le jus de pomme avec le jus de citron et le reste de sucre (30g) puis versez ce mélange sur les pommes. Recouvrez le plat à gratin avec une feuille d'aluminium et faites cuire pendant 25 minutes. Retirez la feuille d'aluminium et déposez les chapeaux réservés précédemment sur chaque pomme. Faites cuire pendant encore 10 minutes. Sortez les pommes du four et laissez-les refroidir légèrement. Déposez 15 g de Nutella® sur chaque pomme et servez.",https://www.marmiton.org/recettes/recette_pommes-au-four-au-nutella_348728.aspx,pas noel
Couscous poulet et merguez facile,4.8,531,47k,1589,1h05,6,très facile,bon marché,30 min,35 min,"['pilons de poulet (fermier de préférence)', 'merguez', ""huile d'olive"", 'boîtes de concentré de tomates', ""cuillères à soupe d'épices à couscous"", 'cuillère à café de harissa', 'cubes de bouillon de boeuf', 'tomates', 'navets', 'carottes', 'courgettes', 'g de pois chiches']","Lavez et épluchez les carottes, les navets et les tomates et les couper en cubes. Dans un autocuiseur, versez 3 cuillères à soupe d'huile d'olive. Mettez à chauffer et faites-y dorer les pilons de poulet. Quand ils sont dorés, versez l'équivalent d'1 litre d'eau et ajouter les cubes de bouillon de boeuf, le concentré de tomate, les carottes, navets et tomates, les épices à couscous et l'harissa. Fermez votre autocuiseur et compter 25 mn de cuisson une fois que celui-ci est monté en pression. En attendant, lavez et coupez les courgettes en cubes et égouttez les pois chiches. Une fois les 25 mn écoulées, évacuez la vapeur de votre autocuiseur, ouvrez et rajouter les courgettes et les pois chiches. Remettez au feu : comptez 10 mn de cuisson une fois votre autocuiseur sous pression. Faites cuire vos merguez sur un grill ou à la poêle, mais pas avec les légumes. Servez accompagné d'une semoule fine.",https://www.marmiton.org/recettes/recette_couscous-poulet-et-merguez-facile_17751.aspx,pas noel
Chili con carne facile,4.8,523,54k,1059,35 min,4,très facile,bon marché,10 min,25 min,"['g de beurre', 'oignons', ""gousses d'ail écrasées"", 'g de boeuf haché', 'cuillère à café de chili en poudre', 'cuillères à café de cumin en poudre', 'g de concentré de tomates', 'grosse boîte de haricots rouges égouttés', 'cl de bouillon de boeuf', 'sel', 'poivre', 'persil pour décorer']","Préchauffer le four à 180°C (thermostat 6). Hacher l'oignon et l'ail. Dans une cocotte en fonte, faire fondre le beurre, et ensuite dorer doucement l'oignon et l’ail. Incorporer le boeuf haché et laisser cuire doucement 10 min. Mélanger le chili, le cumin, le concentré de tomates, et incorporer le tout au boeuf. Ajouter les haricots, le bouillon, du sel et du poivre. Couvrir et cuire 25 min au four.",https://www.marmiton.org/recettes/recette_chili-con-carne-facile_15415.aspx,pas noel
