title,rate,comments,likes,shares,total_time,number people,difficulty,cost,time_preparation,time_cooking,ingredients,recipe,link,gender,category
Cake au thon léger,4.4,592,17k,114,50 min,6,très facile,bon marché,5 min,45 min,"[""grosse boîte de thon (soit 400g) (plutôt du thon à l'huile, mais se fait très bien avec du thon au naturel)"", 'oeufs', 'tasse de lait écrémé', 'g de chapelure ou 8 biscottes écrasées', 'poivre', 'sel']","Émietter le thon dans un saladier. Ajouter les 3 œufs, la chapelure et mélanger. Ajouter le lait et mélanger. Saler et poivrer selon votre goût. On peut aussi ajouter des herbes si on le désire. Placer le tout dans un moule à cake non beurré et cuire au four à 175°C pendant 45 min.",https://www.marmiton.org/recettes/recette_cake-au-thon-leger_16181.aspx,pas noel,aperitif/starter
Gougères faciles,4.7,586,53k,580,45 min,4,facile,bon marché,20 min,25 min,"['pincée de sel', 'g de gruyère râpé', 'g de beurre', 'g de farine', ""cl d'eau"", 'oeufs']","Prévoir une casserole, une spatule, une plaque beurrée et préchauffer le four à 210°C (thermostat 7).
Faire une pâte à choux en faisant fondre dans une casserole le beurre, l'eau, le sel. Porter à ébullition. Retirer du feu et ajouter la farine d'un seul coup en travaillant vivement à la spatule. Remettre sur le feu et dessécher la pâte jusqu'à ce qu'elle se détache de la casserole. Retirer du feu, laissez tiédir. 
Incorporer les 4 oeufs, un à un, en mélangeant bien à la spatule. Ajouter le gruyère râpé. Disposer en petites boules sur une plaque beurrée. Cuire jusqu'à ce que ça ait gonflé et que ce soit un peu doré (environ 25 min).",https://www.marmiton.org/recettes/recette_gougeres-faciles_13241.aspx,pas noel,aperitif/starter
"Tarte thon, tomate et moutarde",4.8,505,50k,1173,55 min,4,très facile,bon marché,15 min,40 min,"['pâte feuilletée', 'boîtes de thon (moyennes)', 'tomates rondes', 'cuillères à soupe de moutarde (fine et forte !)', 'oeufs entiers', 'cl de crème fraîche semi-liquide ou épaisse', 'cuillères à soupe de lait', 'pincée de sel', 'pincées de poivre + 5 baies']","Etaler la pâte feuilletée sur un moule à quiche, piquer le fond de la pâte, puis recouvrir le fond avec la moutarde. Emietter le thon et le répartir sur le fond de la pâte. Laver les tomates et les essuyer, puis les couper en rondelles moyennes, et les disposer sur le thon. Battre les oeufs en omelette, ajouter la crème fraîche plus le lait. Saler et poivrer. Ajouter ce mélange sur la pâte, thon, tomate. Mettre au four (pré-chauffé à 200°C/th 6-7), et cuire environ 40 min (jusqu'à ce que la tarte soit dorée sans être trop brunie!).",https://www.marmiton.org/recettes/recette_tarte-thon-tomate-et-moutarde_17226.aspx,pas noel,aperitif/starter
Tarte tatin aux endives et chavignol,4.8,478,33k,521,1h05,4,facile,Coût moyen,25 min,40 min,"['rouleau de pâte feuilletée', 'endives', 'crottins de chavignol', 'g de beurre', 'cuillère à café de herbes de provence', 'cuillère à soupe de sucre', 'poivre', 'sel']","Coupez en quatre les endives, dans le sens de la longueur. Les disposer dans une sauteuse et les faire revenir dans la moitié du beurre, à feu doux durant 25 min; elles doivent prendre une belle coloration blonde. Dans un moule à manqué, versez l'autre moitié du beurre fondu et saupoudrez de la cuillère à soupe de sucre. Préchauffez le four à 200°C (thermostat 6-7). Disposez les quartiers d'endives en rosace, au fond du moule (le coeur au centre). Coupez les crottins de chèvre en tranches fines et disposez-les sur les endives, puis saupoudrez de la moitié de la cuillère d'herbes de provence; salez et poivrez. Recouvrez avec la pâte feuilletée, le bord de la pâte doit glisser entre le moule et les endives. Enfournez 20 min, la pâte doit se soulever et prendre une belle couleur blonde. Prenez une assiette légèrement plus grande que le diamètre du moule, puis posez-la dessus, et d'un geste retournez l'ensemble. Attendez 5 ou 6 secondes, et soulevez délicatement le moule. Pour finir, saupoudrez avec la moitié des herbes de Provence restantes.",https://www.marmiton.org/recettes/recette_tarte-tatin-aux-endives-et-chavignol_23918.aspx,pas noel,aperitif/starter
Muffin forêt noire,4,1,20,0,45 min,8,facile,bon marché,15 min,10 min,"['boîte de lait concentré sucré nestlé 397 g', 'oeufs', 'farine', 'ml de crème fleurette', 'g de chocolat nestlé dessert noir absolu', 'g de griotte surgelées']","Faites décongeler les griottes. Faites fondre 150 g de chocolat cassé en carré 2 minutes au four à micro-ondes à 500W. Ajoutez le lait concentré sucré Nestlé, les oeufs, la farine et les griottes (gardez-en 8). Versez dans un moule à muffin. Faites cuire 17 minutes à 200°C en mode traditionnel. Démoulez et laissez refroidir. Faites des copeaux avec le chocolat restant. 
Battez la crème en chantilly. 
Sur chaque muffin, ajoutez la chantilly, une griotte et des copeaux.",https://www.marmiton.org/recettes/recette_muffin-foret-noire_371306.aspx,pas noel,aperitif/starter
Tarte aux poireaux et aux lardons,4.8,443,34k,985,50 min,6,facile,bon marché,25 min,25 min,"['g de farine', 'g de beurre', ""cuillères à soupe d'eau"", 'poireaux', 'g de lardons', 'oeufs', 'g de fromage râpé', 'cl de crème fraîche', 'poivre', 'sel']","Préchauffer le four à 210°C (thermostat 7). Faire la pâte à tarte : malaxer le beurre et la farine, l'eau, étaler puis mettre dans le plat. Émincer les poireaux.
Les faire dorer dans un peu de beurre. Faire dorer les lardons à part. Les égoutter soigneusement avant de les ajouter aux poireaux. Faire l'appareil : mêler les oeufs, la crème, le sel et le poivre. Étaler les poireaux et les lardons sur la pâte. Parsemer de gruyère râpé, couvrir avec l'appareil. Mettre au four 25 min.",https://www.marmiton.org/recettes/recette_tarte-aux-poireaux-et-aux-lardons_12850.aspx,pas noel,aperitif/starter
Tatin de magret de canard au foie gras,4.8,428,37k,210,25 min,1,facile,Coût moyen,15 min,10 min,"['pomme reinette du vigan ou pomme verte', 'tranches de magret de canard fumé', 'rondelle de pain de mie grillé', 'tranche de foie gras (prêt à consommer)', 'cuillère à café de calvados ou alcool de pomme', 'noix de beurre']","Eplucher la pomme, la couper en tranches 'demi-lune', les faire revenir avec le beurre 5 mn. Prendre une  petite timbale, mettre une couche de pommes, 2 tranches de magret, des pommes, les 2 morceaux de magret et finir par les pommes. Ajouter la cuillère de calvados. Passer à four chaud 5 mn. Démouler sur le pain de mie grillé, puis recouvrir de la tranche de foie gras. Servir chaud.",https://www.marmiton.org/recettes/recette_tatin-de-magret-de-canard-au-foie-gras_17047.aspx,pas noel,aperitif/starter
Gougères au fromage,4.8,412,30k,696,45 min,6,facile,bon marché,20 min,25 min,"['oeufs + 1 jaune (pas obligé)', 'g de gruyère râpé', 'g de farine tamisée', 'g de beurre + 15 g pour la plaque', 'pincée de muscade râpée', 'sel', 'poivre']","Préchauffez le four à 200°C (th 6-7). Dans une casserole, portez 25 cl d'eau à ébullition, avec le beurre coupé en morceaux + 1 cuillère à café de sel. Hors du feu, ajoutez la farine d'un coup. Mélangez vivement, et faites dessécher pendant 1 min sur feu doux. Laissez tiédir quelques instants, et incorporez les oeufs un par un en mélangeant bien. Ajoutez le gruyère râpé, la muscade, le sel et le poivre. Déposez cette pâte à l'aide de 2 cuillères à café, en petits tas séparés, sur une plaque beurrée. Vous pouvez dorer les petites gougères avec un jaune d'oeuf, à l'aide d'un pinceau. Enfournez 25 min en surveillant. C'est prêt",https://www.marmiton.org/recettes/recette_gougeres-au-fromage_20095.aspx,pas noel,aperitif/starter
Cake aux olives et lardons,4.7,409,30k,254,1 h,6,très facile,bon marché,15 min,45 min,"['g de farine', 'sachet de levure', 'oeufs', 'pincée de sel', 'poivre moulu', ""cl d'huile (tournesol, olive...)"", 'cl de lait chaud', 'g de gruyère ou de comté râpé', 'g de lardons ou de jambon coupé en dés', ""g d'olive verte dénoyautées""]","Faire bouillir de l'eau, et y plonger les lardons 2 min. Les égoutter, puis les faire revenir dans une poêle, sans matières grasses, jusqu'à ce qu ils soient bien dorés; réserver. Dans un saladier (ou dans le bol du robot), mettre la farine, la levure, les oeufs, le sel, le poivre et l'huile. Bien mélanger, puis ajouter le lait chaud, le fromage râpé, les olives égouttées et les lardons. Graisser un moule à cake, le tapisser de papier sulfurisé beurré et y verser la préparation. Mettre au four 45 min environ à thermostat 6/7 (200°C), en couvrant avec un papier aluminium à mi-cuisson si le cake dore trop vite. Laisser tiédir dans le moule, et servir tiède ou froid.",https://www.marmiton.org/recettes/recette_cake-aux-olives-et-lardons_11292.aspx,pas noel,aperitif/starter
Coupelles de nougat moelleux au Nutella®,0,0,168,3,25 min,8,facile,bon marché,25 min,no data,"['g de nougat tendre aux noisettes et/ou aux amandes', 'g de biscuit amaretti secs', 'g de crème fraîche entière liquide', 'g de sucre en poudre', 'g de nutella®', 'sucre glace pour décorer']","À l’aide d’un couteau, concassez le nougat et les biscuits amaretti en petits morceaux irréguliers. Fouettez la crème avec le sucre jusqu’à obtenir une mousse légère. Ajoutez les morceaux de nougat et de biscuits amaretti croquants au mélange de crème et de sucre. À l’aide d’une cuillère en bois, mélangez délicatement de bas en haut. Remplir 8 coupelles individuelles. Laissez reposer au réfrigérateur pendant 2 heures au minimum. Décorez chaque coupelle avec 15 g de Nutella® et du sucre glace avant de servir.",https://www.marmiton.org/recettes/recette_coupelles-de-nougat-moelleux-au-nutella_346561.aspx,pas noel,aperitif/starter
Soufflé au fromage,4.7,403,53k,953,50 min,4,facile,bon marché,15 min,35 min,"['oeufs ou 5 moyens', ""g d'emmental ou gruyère râpé"", 'g de beurre', 'g de farine', 'cl de lait', 'muscade']","Préchauffer le four à 180°C (thermostat 6). Beurrer le moule. Chauffer le beurre dans une casserole, ajouter la farine et remuer rapidement pendant 1 min. Ajouter le lait tiédi, remuer au fouet pendant quelques minutes à feu doux. Retirer la casserole du feu. Séparer les blancs et les battre fermement (avec une pincée de sel). Dans la casserole refroidie, ajouter les jaunes d'oeufs un à un, puis le fromage râpé. Mettre une pincée de muscade, poivrer. Saler peu car le fromage contient déjà du sel. Incorporer les blancs d'oeufs battus en mélangeant délicatement. Verser dans le moule, au maximum jusqu'à 4 cm du bord. Enfourner pendant 35 minutes en position chaleur tournante.",https://www.marmiton.org/recettes/recette_souffle-au-fromage_69641.aspx,pas noel,aperitif/starter
Cake au thon rapide,4.6,375,38k,594,55 min,6,très facile,bon marché,15 min,40 min,"['g de farine', 'sachet de levure chimique', 'oeufs', 'grosse boîte de thon (300g)', 'g de gruyère râpé', 'cl de lait', ""cl d'huile (olive ou autre)"", 'pincée de poivre', 'sel']","Mettre la farine et la levure dans un saladier. Ajouter les oeufs et battez sans faire de grumeaux, ainsi que le lait, l'huile, le sel le poivre. Bien mélanger. Incorporer le thon en morceaux et le fromage râpé. Mettre dans un moule à cake garni de papier sulfurisé et cuire au four 180°C.",https://www.marmiton.org/recettes/recette_cake-au-thon-rapide_16045.aspx,pas noel,aperitif/starter
Velouté de carottes au cumin,4.7,354,25k,214,35 min,6,très facile,bon marché,10 min,25 min,"['kg de carotte', 'pomme de terre moyenne', 'oignon', ""l d'eau"", 'g de beurre', 'cuillère à café de curry', 'cuillère à café de cumin', 'sel de guérande', 'cl de crème liquide']","Emincez l'oignon. Faites fondre le beurre dans une cocotte minute, puis ajoutez l'oignon. Faites dorer. Ajoutez les carottes et la pomme de terre préalablement coupés en morceaux. Faites cuire ainsi 5 minutes. Ajoutez l'eau, ainsi que le curry et le cumin. Fermez la cocotte et faire cuire 20 minutes après la montée en pression. Il ne reste plus qu'à mixer le tout en y ajoutant la crème liquide... et bien sûr qu'à se régaler!",https://www.marmiton.org/recettes/recette_veloute-de-carottes-au-cumin_16952.aspx,pas noel,aperitif/starter
"Roulade de saumon fumé aux asperges, sauce aux crevettes et au chèvre frais",4.7,333,21k,251,30 min,4,très facile,Coût moyen,15 min,15 min,"[""g d'asperge (1 boîte)"", 'tranches de saumon fumé', 'g de fromage de chèvre frais', 'cuillère à soupe de persil haché', 'g de crevettes', 'cl de crème liquide', 'poivre']","Préchauffez le four à 180°C (thermostat 6). Egouttez les asperges et répartir 3 asperges sur chaque tranche de saumon, enroulez et disposez dans un grand plat à gratin ou dans des petits plats individuels. Ecrasez le fromage de chèvre, ajoutez 4 cuillères à soupe de jus d'asperge, le persil et la crème. Poivrez (ne salez pas). Fouettez pour obtenir une sauce onctueuse, ajoutez les crevettes et nappez les roulades de cette sauce. Enfournez pour 15 min.",https://www.marmiton.org/recettes/recette_roulade-de-saumon-fume-aux-asperges-sauce-aux-crevettes-et-au-chevre-frais_15079.aspx,pas noel,aperitif/starter
Petits gâteaux au gianduja (chocolat et noisettes) et Nutella®,5,2,868,34,1h30,10,Niveau moyen,bon marché,1h18,12 min,"['g de chocolat gianduja', 'g de beurre', 'oeufs', ""g d'amandes"", 'g de sucre glace', 'g de sucre en poudre', 'g de farine', 'g de nutella®']","Séparez les jaunes des blancs d’oeufs dans deux petits bols, Dans un saladier, faites fondre le chocolat à 45-50°C au bain-marie. Ajoutez le beurre coupé en petits cubes et mélangez. Ajoutez les 2 jaunes d’oeufs et mélangez à nouveau. Tamisez ensemble la poudre d’amande et le sucre glace pour obtenir une fine poudre et incorporez-la au mélange précédent. La texture de la pâte doit être souple et soyeuse. Préchauffez le four à 170°C (thermostat 5-6) et positionnez une grille à mi-hauteur. Dans un autre saladier, battez les blancs en neige en y ajoutant progressivement le sucre en poudre, une cuillère à la fois. Continuez à fouetter jusqu’à la formation de pics. Incorporez délicatement les blancs d’œufs montés en neige au mélange précédent, en mélangeant de haut en bas à l’aide d’une spatule. Ajoutez la farine et mélangez. Beurrez et farinez 10 petits moules (choisissez une forme avec un fond concave). Versez la pâte jusqu’à la moitié de la hauteur de chaque moule. Faites cuire pendant environ 12 minutes. Faites attention de ne pas trop cuire les gâteaux ! Même s’ils semblent un peu liquides en sortant du four, ils se raffermiront en refroidissant. Démoulez les petits gâteaux et retournez-les sur une assiette. Si besoin, égalisez la base. Fourrez chaque gâteau avec 15 g de Nutella® dans le creux laissé par le moule. Saupoudrez avec du sucre glace.",https://www.marmiton.org/recettes/recette_petits-gateaux-au-gianduja-chocolat-et-noisettes-et-nutella_346554.aspx,pas noel,aperitif/starter
Soupe à la courgette et au curry,4.7,315,22k,268,1 h,6,facile,bon marché,30 min,30 min,"['kg de courgette', 'g de pomme de terre', 'oignon', ""gousse d'ail"", 'curry', 'poivre', 'sel', 'huile', 'bouillon de volaille']","Découpez en cubes les courgettes et les pommes de terre épluchées. Coupez les oignons grossièrement. Préparez du bouillon de volaille (frais ou lyophilisé). Dans une cocotte, faites chauffez 2 cuillères à soupe d'huile. Quand celle ci est bien chaude, versez les oignons et l'ail et saupoudrez de curry (vous pouvez être généreux mais si la présence du curry vous surprend, mettez en peu la 1ère fois). Remuez constamment, le temps que les oignons s'imprègnent de curry. Versez 1 l d'eau (y compris le bouillon). Ajoutez les pommes de terre et 5 à 10 mn plus tard, les dés de courgettes. Laissez cuire 20 min. La soupe ne doit pas bouillir. Salez et poivrez. Mixez (de préférence le plus possible, cette soupe est meilleure lisse). C'est prêt!",https://www.marmiton.org/recettes/recette_soupe-a-la-courgette-et-au-curry_16223.aspx,pas noel,aperitif/starter
Bricks au chèvre frais et à la tapenade,4.6,305,30k,47,15 min,6,facile,bon marché,10 min,5 min,"['feuilles de brick', 'chèvre frais', 'g de tapenade verte', 'tomates', 'paprika', 'ciboulette', 'ail frais']","Préparer un concassé de tomate et d'ail. Prendre 2 feuilles de brick, placer au centre 2 chèvres (ou au bout de 2 lanières de brick) recouvrir de concassé de tomate et d'ail puis de tapenade Saupoudrer d'un peu de ciboulette et de paprika. Refermer la brick en aumonière et lier à l'aide d'un fil de lin à cuisine (ou plier en samossa). En faire 6, les placer sur une plaque à four chaud (200°C) pendant 5 minutes (ou plus si ce sont des samossas). Les sortir du four et les placer sur un lit de laitue, assaisonner avec un peu d'huile d'olive et de vinaigre balsamique.
Remplacer le fil de lin par un brin de ciboulette.",https://www.marmiton.org/recettes/recette_bricks-au-chevre-frais-et-a-la-tapenade_11567.aspx,pas noel,aperitif/starter
Verrine fraîcheur au carré frais,4.8,296,34k,326,20 min,4,facile,bon marché,20 min,no data,"['verres de maïs transparents', 'avocat', 'cuillères à soupe de surimi râpé', 'jus de citron vert', 'carré frais de gervais', 'cuillères à soupe de crème fleurette', ""aneth frais (équivalent d'1 cuillère à café)"", 'tranches de saumon fumé', 'poivre du moulin', 'sel (déjà présent dans le saumon fumé, le carré frais de gervais et le surimi râpé)', 'oeufs de saumon', 'aneth', 'couteau à lame lisse pour le saumon']","Dans vos quatre verres, répartissez équitablement les 3 cuillères à soupe de surimi râpé. Réduisez en purée votre avocat avec le demi jus du citon vert, après l'avoir épluché et avoir enlevé le noyau bien sûr. Répartissez toujours aussi équitablement entre les 4 verres. Mixer les 2 carrés frais avec l'aneth frais et la crème fleurette et un peu de poivre du moulin. Répartissez toujours de la même manière dans les 4 verres. Couper en lamelles très fines vos deux tranches de saumon fumé que vous disposez dans les verres en essayant de dessiner comme un rond ou une spirale qui s'entremêlent. Disposez 3 ou 4 oeufs de saumon au centre (pas plus c'est juste pour la déco) ainsi que de tout petits brins d'aneth. Arrosez de quelques gouttes de citron vert, un soupçon de tour de moulin à poivre, et c'est prêt! Mettre au frigo, dans la partie la plus froide et ne sortir qu'au moment de se mettre à table! Je vous conseille, un vin blanc sec, peu importe de quelle région il vient. (à consommer avec modération bien sûr!) Bon Appétit!",https://www.marmiton.org/recettes/recette_verrine-fraicheur-au-carre-frais_764.aspx,pas noel,aperitif/starter
"Tarte aux aubergines, tomates et parmesan",4.6,287,45k,240,40 min,6,très facile,bon marché,20 min,20 min,"['g de farine', 'g de beurre', ""fond de verre d'eau, sel"", ""trait d'huile d'olive"", ""g d'aubergine grillées (vous pouvez les acheter surgelées)"", ""tomates coupées en dés (c'est meilleur sans les pépins!)"", 'boule de mozzarella coupée en dés', 'parmesan râpé', ""huile d'olive""]","La pâte : mélanger rapidement avec la paume de la main la farine, le sel et l'huile avec le beurre ramolli en pommade.
Ajouter un trait d'eau, pour lier et rassembler la pâte en boule (si elle est trop collante, rectifier en ajoutant de la farine), et laisser reposer 1 h si possible. Garniture : étaler la pâte dans un plat fariné, saupoudrer le fond de tarte de parmesan râpé, puis étaler la moitié des aubergines (même sorties du congélateur à l'instant!). Parsemer de la moitié des tomates et de mozzarella, saler, poivrer, et répéter une fois l'opération. Terminer avec un filet d'huile sur l'ensemble, puis du parmesan. Enfourner pendant 20 min à thermostat 6/7 (200°C), et servir tiède ou froide.",https://www.marmiton.org/recettes/recette_tarte-aux-aubergines-tomates-et-parmesan_18348.aspx,pas noel,aperitif/starter
