title,rate,comments,likes,shares,total_time,number people,difficulty,cost,time_preparation,time_cooking,ingredients,recipe,link,gender
Pancakes,4.8,1494,109k,1704,14 min,4,très facile,bon marché,10 min,4 min,"['g de farine', 'g de sucre semoule', 'oeufs', 'sachet de levure traditionnelle', 'g de beurre doux', 'pincée de sel', 'cl de lait']","Faire fondre le beurre, dans une casserole à feu doux ou dans un bol au micro-ondes. Mettre la farine, la levure et le sucre dans un saladier. Mélanger et creuser un puits. Ajouter ensuite les oeufs entiers et fouetter l'ensemble. Incorporer le beurre fondu, fouetter puis délayer progressivement le mélange avec le lait afin d'éviter les grumeaux. Laisser reposer la pâte au minimum 1 heure au réfrigérateur. Dans une poêle chaude et légèrement huilée, faire cuire comme des crêpes, mais en les faisant plus petites. Réserver au chaud et déguster.",https://www.marmiton.org/recettes/recette_pancakes_15299.aspx,pas noel
Galette des rois,4.7,1405,96k,1260,55 min,6,très facile,bon marché,15 min,40 min,"['pâtes feuilletées', ""g de poudre d'amandes"", 'g de sucre semoule', 'oeuf', 'g de beurre mou', ""goutte d'extrait d'amande amère"", ""jaune d'oeuf pour dorer"", 'fève !']","Préchauffer le four à 210°C (thermostat 7). Disposer une pâte dans un moule à tarte, la piquer avec 1 fourchette. Mélanger dans un saladier tous les ingrédients (poudre d'amandes, sucre, oeuf, beurre mou et extrait d'amande amère). Etaler la préparation sur la pâte, y mettre la fève (sur un bord, pour minimiser les chances de tomber dessus en coupant la galette!). Refermer la galette avec la seconde pâte et bien souder les bords. A l'aide d'un couteau, décorer la pâte en y traçant des dessins et dorer au jaune d'oeuf (dilué dans un peu d'eau). Percer le dessus de petits trous pour laisser l'air s'échapper, sinon elle risque de gonfler et de se dessécher. Enfourner pendant 30 minutes environ (surveiller la cuisson dès 25 minutes, mais ne pas hésiter à laisser jusqu'à 40 minutes si nécessaire). Déguster.",https://www.marmiton.org/recettes/recette_galette-des-rois_10832.aspx,pas noel
Fondant au chocolat,4.6,1333,109k,1688,35 min,8,très facile,bon marché,15 min,20 min,"['g de chocolat à cuire', 'g de beurre doux', 'g de sucre semoule', 'oeufs', 'cuillères à soupe de farine']","Préchauffer le four à 180°C (thermostat 6).
Faire fondre le chocolat et le beurre au bain-marie à feu doux, ou au micro-ondes sur le programme ""décongélation"". Pendant ce temps, séparer les jaunes des blancs d'oeuf. Monter les blancs en neige ferme. Réserver. Quand le mélange chocolat-beurre est bien fondu, ajouter les jaunes d’oeufs et fouetter. Incorporer le sucre et la farine, puis ajouter les blancs d’oeufs sans les casser. Beurrer et fariner un moule à manqué et y verser la pâte à gâteau. Enfourner pendant 20 minutes. Quand le gâteau est cuit, le laisser refroidir avant de le démouler.",https://www.marmiton.org/recettes/recette_fondant-au-chocolat_15025.aspx,pas noel
Chouquettes,4.7,1250,105k,237,35 min,45,très facile,bon marché,20 min,15 min,"[""cl d'eau"", 'g de beurre doux', 'g de farine', 'cuillère à soupe rase de sucre semoule', 'cuillère à café de sel', 'cuillère à café de levure chimique', 'sachet de sucre vanillé', 'oeufs', 'sucre perlé']","Mettre l'eau et le beurre dans une casserole et porter à ébullition. Lorsque le mélange bout, retirer la casserole du feu et ajouter d'un seul coup la farine avec le sel et la levure. Mélanger à l'aide d'une spatule jusqu'à ce que la pâte se décolle toute seule des bords de la casserole et ne fasse plus qu'une masse. Laisser refroidir quelques instants. Ajouter le sucre, puis le premier oeuf et fouetter énergiquement jusqu'à absorption complète de celui-ci par la pâte. Recommencer avec les 2 autres oeufs (cette opération peut se faire au batteur électrique). Préchauffer le four à 210°C (thermostat 7). Déposer sur une plaque beurrée ou recouverte de papier sulfurisé des cuillerées à café de pâte en les espaçant bien (2 plaques pour cette quantité). Ajouter des grains de sucre perlé sur chaque chou en les enfonçant légèrement dans la pâte. Mettre à cuire dans le four préchauffé à 210°C (thermostat 7) pendant 15 à 20 minutes (190°C suffisent pour un four à chaleur tournante).",https://www.marmiton.org/recettes/recette_chouquettes_30622.aspx,pas noel
Muffin forêt noire,4,1,20,0,45 min,8,facile,bon marché,15 min,10 min,"['boîte de lait concentré sucré nestlé 397 g', 'oeufs', 'farine', 'ml de crème fleurette', 'g de chocolat nestlé dessert noir absolu', 'g de griotte surgelées']","Faites décongeler les griottes. Faites fondre 150 g de chocolat cassé en carré 2 minutes au four à micro-ondes à 500W. Ajoutez le lait concentré sucré Nestlé, les oeufs, la farine et les griottes (gardez-en 8). Versez dans un moule à muffin. Faites cuire 17 minutes à 200°C en mode traditionnel. Démoulez et laissez refroidir. Faites des copeaux avec le chocolat restant. 
Battez la crème en chantilly. 
Sur chaque muffin, ajoutez la chantilly, une griotte et des copeaux.",https://www.marmiton.org/recettes/recette_muffin-foret-noire_371306.aspx,pas noel
Gâteau au chocolat fondant rapide,4.7,1237,64k,5664,40 min,6,très facile,bon marché,10 min,30 min,"['g de chocolat à pâtisser noir', 'g de beurre + une noix pour le moule', 'oeufs', 'g de farine', 'g de sucre en poudre']","Préchauffez votre four à 180°C (thermostat 6).
Dans une casserole, faites fondre le chocolat et le beurre coupé en morceaux à feu très doux. Dans un saladier, ajoutez le sucre, les oeufs, la farine. Mélangez. Ajoutez le mélange chocolat/beurre. Mélangez bien. Beurrez et farinez votre moule puis y versez la pâte à gâteau. Faites cuire au four environ 20 minutes. A la sortie du four le gâteau ne paraît pas assez cuit. C'est normal, laissez-le refroidir puis démoulez- le.",https://www.marmiton.org/recettes/recette_gateau-au-chocolat-fondant-rapide_166352.aspx,pas noel
Gâteau au chocolat des écoliers,4.7,1195,51k,926,35 min,8,facile,bon marché,10 min,25 min,"['g de chocolat noir', 'oeufs', 'g de beurre doux', 'g de sucre en poudre', 'g de farine', 'sachet de levure chimique']","Préchauffez le four à 180°C (thermostat 6). Faites fondre le chocolat au bain-marie ou au micro-ondes. Si vous le faites fondre au micro-ondes, ajoutez 3 cuillères à soupe d'eau pour 200 g de chocolat. Ajoutez le beurre au chocolat fondu et fouetter énergiquement jusqu'à ce que le mélange soit lisse et bien fondu. Dans un saladier, fouettez les oeufs et le sucre jusqu'à ce que le mélange blanchisse et incorporez la levure puis la farine. Versez le chocolat et le beurre fondus dans la préparation puis mélangez jusqu'à l'obtention d'une pâte homogène. Versez la préparation dans un moule à manqué beurré et fariné. Faites cuire environ 25 minutes (adaptez le temps de cuisson pour obtenir un cœur plus ou moins fondant).",https://www.marmiton.org/recettes/recette_gateau-au-chocolat-des-ecoliers_20654.aspx,pas noel
Mousse au chocolat facile,4.6,1185,97k,185,15 min,4,très facile,bon marché,10 min,5 min,"['oeufs', 'g de chocolat (noir ou au lait)', 'sachet de sucre vanillé']","Séparer les blancs des jaunes d'oeufs. Faire ramollir le chocolat dans une casserole au bain-marie. Hors du feu, incorporer les jaunes et le sucre. Battre les blancs en neige ferme. Ajouter délicatement les blancs au mélange à l'aide d'une spatule. Verser dans une terrine ou des verrines. Mettre au frais 2h minimum. Décorer de cacao ou de chocolat râpé Déguster",https://www.marmiton.org/recettes/recette_mousse-au-chocolat-facile_13585.aspx,pas noel
Flan pâtissier traditionnel,4.6,1114,94k,979,1 h,8,très facile,bon marché,20 min,40 min,"['pâte brisée', 'oeufs', 'l de lait', 'g de sucre poudre', 'g de maïzena', 'gousse de vanille']","Faire bouillir le lait avec la gousse de vanille fendue (dans le sens de la longueur). Pendant ce temps, mélanger la Maïzena (tamisée, c'est mieux) avec le sucre. et ajouter les oeufs bien battus. Mélanger le tout (bien homogène) et ajouter le lait bouillant (sans la gousse). Cuire la préparation à feu doux sans cesser de remuer pendant environ 1 à 2 min Préchauffer le four à 200°C (thermostat 6-7). Foncer un plat rectangulaire ou rond préalablement beurré avec la pâte brisée. Piquer le fond. Y verser la préparation. Lisser la surface. Cuire pendant environ 30 à 40 min. Laisser refroidir. Déguster.",https://www.marmiton.org/recettes/recette_flan-patissier-traditionnel_15330.aspx,pas noel
Brochettes de crêpes au Nutella® et aux fruits,4.5,2,1.4k,2,36 min,4,très facile,bon marché,11 min,15 min,"['oeufs', 'g de farine', 'g de beurre', 'ml de lait entier', 'fruits', 'g de nutella®']","Munissez-vous de deux terrines : dans l'une, mélangez le lait et la farine ; dans l'autre, les œufs et le beurre fondu. Mélangez ensuite le contenu des deux récipients. Laissez reposer la pâte pendant 15 minutes à température ambiante. Faites chauffer une poêle à crêpes et graissez-la avec du papier absorbant légèrement imbibé d'huile. Versez un peu de pâte dans la poêle et étalez-la pour former une crêpe d'environ 26 cm de diamètre. Faites-la cuire des deux côtés jusqu'à ce qu'elle soit bien dorée. Fourrez chaque crêpe avec 15 g de Nutella®. Roulez les crêpes et coupez-les en rondelles d'environ 3 cm. Montez les brochettes en alternant les rondelles de crêpes avec des morceaux de fruits.",https://www.marmiton.org/recettes/recette_brochettes-de-crepes-au-nutella-et-aux-fruits_348748.aspx,pas noel
Canelés bordelais,4.7,1086,66k,1053,1h30,16,Niveau moyen,bon marché,15 min,1h15,"['cl de lait', 'oeufs entiers', ""jaunes d'oeuf"", 'gousse de vanille', 'cuillère à soupe de rhum', 'g de farine', 'g de sucre en poudre', 'g de beurre doux (+ 50 g pour beurrer les moules)', 'pincée de sel']","Faire bouillir le lait avec la gousse de vanille préalablement fendue et égrainée et le beurre. Pendant ce temps, mélanger la farine et le sucre dans un saladier puis incorporer les oeufs d'un seul coup et verser ensuite le lait bouillant. Mélanger doucement afin d'obtenir une pâte fluide comme une pâte à crêpes. Laisser refroidir. Puis ajouter le rhum Avant de placer au réfrigérateur et de laisser reposer une heure. Préchauffer le four à 240°C (thermostat 8) avec la tôle sur laquelle cuiront les canelés [si vous utilisez un moule en silicone, mettez le four à maximum 220°C (thermostat 6-7)].

Verser la pâte bien refroidie dans les moules bien beurrés, en ne les remplissant qu'à moitié. rapidement, disposer les canelés sur la tôle du four préchauffé, à 240°C, pendant 12 minutes (20 minutes à 220°C avec un moule en silicone), puis baisser la température à 180°C (thermostat 6) et continuer la cuisson pendant 1 heure : le cannelé doit avoir une croûte brune et un intérieur bien moelleux. Démouler encore chaud. Déguster !",https://www.marmiton.org/recettes/recette_canneles-bordelais_11439.aspx,pas noel
Tarte chocolat - poires facile,4.6,1070,60k,646,45 min,6,très facile,bon marché,15 min,30 min,"['pâte sablée', 'g de chocolat noir', 'cuillères à soupe de lait', 'oeufs', 'cuillères à soupe de crème fraîche', 'g de sucre', 'grosse boîte de poire']","Préchauffer le four à 180°C (thermostat 6). Faire fondre le chocolat avec le lait, dans une casserole (ou au micro-ondes). Ajouter 3 bonnes cuillères de crème fraîche, mélanger, et verser sur la pâte. Déposer ensuite les demi-poires sur le nappage. Mélanger les oeufs, le sucre et les 3 cuillères à soupe de crème fraîche restantes, puis le déposer sur le tout. Mettre au four pendant 30 min.",https://www.marmiton.org/recettes/recette_tarte-chocolat-poires-facile_14023.aspx,pas noel
Pain d'épices,4.8,1040,46k,178,1h30,6,facile,Coût moyen,30 min,1 h,"['g de miel', 'g de farine', 'g de sucre en poudre', 'sachet de levure chimique', 'sachet de sucre vanillé', ""cuillère à café d'anis vert"", 'cuillère à café de muscade râpée', 'cuillère à café de cannelle en poudre', 'cuillère à café de gingembre en poudre', 'cuillère à café de quatre-épices', 'oeufs', 'cl de lait']","Faites chauffer 250 g de miel à la casserole ou au micro-ondes. Mélangez la farine avec la levure chimique, les deux sucres et les épices. Ajoutez le miel chaud (en remuant idéalement avec une cuillère en bois). Incorporez petit à petit 2 oeufs, puis un peu de lait juste tiède pour amalgamer le tout. Préchauffez le four à 160°C (thermostat 5-6). Versez la préparation dans un moule à cake bien beurré et fariné. Enfournez et laissez cuire pendant 1h à 1h15. Démoulez le pain d'épices lorsqu'il a totalement refroidi. Attendez 24 heures au minimum avant de le déguster. Il se garde une semaine, enveloppé dans du papier d'aluminium.",https://www.marmiton.org/recettes/recette_pain-d-epices_11087.aspx,pas noel
Pâte à crêpes simple,4.6,1027,104k,842,45 min,20,très facile,bon marché,15 min,30 min,"['oeufs', 'g de farine', 'l de lait demi-écrémé', ""cuillères à soupe d'huile"", 'verre de bière']","Dans un saladier verser la moitié de la farine, puis rajouter les oeufs un à un, rajouter ensuite un peu de lait puis de la farine puis à nouveau du lait et ainsi de suite. Enfin rajouter l'huile et la bière. Laisser reposer 1 heure, votre pâte est prête.",https://www.marmiton.org/recettes/recette_pate-a-crepes-simple_27121.aspx,pas noel
Pommes au four au Nutella®,5,2,346,0,52 min,4,très facile,bon marché,14 min,38 min,"['pommes tendres (boskoop ou cox orange)', 'g de sucre en poudre', 'g de raisins secs', 'cl de jus de pomme', 'g de beurre mou', 'cuillère à café de cannelle', 'g de noisettes concassées grossièrement', 'jus de citron']","Préchauffez le four à 180°C et positionnez une grille à mi-hauteur. Coupez le haut des pommes et réservez-les pour plus tard.
À l'aide d'une cuillère, retirez les pépins ainsi qu'un peu de chair et disposez les pommes dans un plat à gratin. Dans un bol, mélangez le beurre avec 70 g de sucre, la cannelle, les raisins secs et les noisettes. Remplissez les pommes avec ce mélange. Dans une petite casserole, faites chauffer le jus de pomme avec le jus de citron et le reste de sucre (30g) puis versez ce mélange sur les pommes. Recouvrez le plat à gratin avec une feuille d'aluminium et faites cuire pendant 25 minutes. Retirez la feuille d'aluminium et déposez les chapeaux réservés précédemment sur chaque pomme. Faites cuire pendant encore 10 minutes. Sortez les pommes du four et laissez-les refroidir légèrement. Déposez 15 g de Nutella® sur chaque pomme et servez.",https://www.marmiton.org/recettes/recette_pommes-au-four-au-nutella_348728.aspx,pas noel
Tarte aux pommes à l'Alsacienne,4.8,999,61k,986,55 min,6,très facile,bon marché,25 min,30 min,"['pommes (selon la grosseur)', 'pâte brisée', 'oeufs', 'cl de crème fraîche', 'g de sucre en poudre', 'sachet de sucre vanillé']","Pelez et coupez les pommes en fines tranches Dans un saladier, mélangez le sucre, les oeufs, le sucre vanillé la crème fraîche Etalez la pâte dans un moule à tarte et piquez le fond à l'aide d'une fourchette. Disposez les pommes sur la pâte et versez le tout sur les pommes (ou versez uniquement la crème) Puis disposer les lamelles de pommes roulées sur elles-même en roses. Enfournez environ 30 minutes, jusqu'à ce que la tarte prenne une belle couleur dorée. Déguster",https://www.marmiton.org/recettes/recette_tarte-aux-pommes-a-l-alsacienne_11457.aspx,pas noel
Cheese cake (gâteau au fromage blanc) inratable,4.6,991,77k,995,1h25,8,très facile,bon marché,30 min,55 min,"['g de biscuit (petits bruns) émiettés', 'g de beurre doux fondu', 'cuillère à café de muscade râpée (si on aime)', 'g de fromage blanc (type faisselle)', 'g de sucre semoule', 'cuillères à soupe de farine', 'oeufs', 'cl de crème fraîche', ""cuillère à café d'extrait de vanille ou d'orange ou zeste de citron ...)""]","Préchauffez le four à 180°C (thermostat 6).
Tapissez de papier sulfurisé et préalablement beurré un moule de 23 cm de diamètre. Idéalement, le fond du moule doit être amovible, sinon, laissez bien dépasser le papier pour démouler facilement le gâteau en tirant dessus.
Mélangez les biscuits, la muscade et le beurre fondu. Tapissez le fond du moule de ce mélange en tassant bien avec le dos d'une cuillère. Placez au réfrigérateur. Battez la faisselle au fouet jusqu'à ce qu'elle soit lisse, puis ajoutez le sucre et la farine et les oeufs un par un. 
Ajoutez ensuite la crème et le parfum de votre choix. Versez cette préparation sur la croûte biscuitée (si la croûte ""dépasse"" de la crème, enlevez le surplus à la cuillère, cela risque de brûler). Enfournez pour 50-55 minutes de cuisson jusqu'à ce que la préparation au fromage soit ferme au toucher. Laissez refroidir, démoulez et servez frais.",https://www.marmiton.org/recettes/recette_cheese-cake-gateau-au-fromage-blanc-inratable_20518.aspx,pas noel
Brownies,4.6,988,47k,1168,25 min,6,facile,bon marché,10 min,15 min,"['g de chocolat pâtissier', 'sachet de sucre vanillé', 'g de beurre', 'oeufs', 'g de sucre', 'g de farine', 'sel']","Faites fondre le chocolat cassé en morceaux avec le beurre. Pendant ce temps, battez les oeufs avec le sucre jusqu'à ce que le mélange blanchisse. Ajoutez la farine, le sucre vanillé, et ajoutez le chocolat. Versez le tout dans un moule, et enfournez à 180°C (thermostat 6)pendant 15 min... Et voilà !",https://www.marmiton.org/recettes/recette_brownies_16951.aspx,pas noel
Cookies maison,4.5,922,40k,501,25 min,4,facile,bon marché,15 min,10 min,"['g de beurre mou', 'oeuf', 'g de sucre', 'vanille ou 1 sachet de sucre vanillé', 'g de farine', 'g de chocolat noir', 'cuillère à café de sel', 'cuillère à café de levure chimique']","Détailler le chocolat en pépites. Préchauffer le four à 180°C (thermostat 6).
Dans un saladier, mettre 75 g de beurre, le sucre, l'oeuf entier, la vanille et mélanger le tout. Ajouter petit à petit la farine mélangée à la levure, le sel et le chocolat. Beurrer une plaque allant au four et former les cookies sur la plaque. Pour former les cookies, utiliser 2 cuillères à soupe et faire des petits tas espacés les uns des autres; ils grandiront à la cuisson. Enfourner pour 10 minutes de cuisson.",https://www.marmiton.org/recettes/recette_cookies-maison_86989.aspx,pas noel
